code,similar_code,rank,distance
ad,md,1,0.1885
ad,ro,2,0.1998
ad,td,3,0.2022
ad,ml,4,0.2355
ad,gd,5,0.2441
ad,am,6,0.2595
ae,ps,1,0.0971
ae,jo,2,0.1695
ae,eh,3,0.1804
ae,sd,4,0.1812
ae,ye,5,0.1844
ae,kw,6,0.1858
af,ke,1,0.2118
af,eh,2,0.2216
af,jo,3,0.2448
af,kw,4,0.2785
af,sd,5,0.2797
af,sy,6,0.2869
ag,tt,1,0.2087
ag,tl,2,0.2444
ag,ao,3,0.2517
ag,pg,4,0.2609
ag,de,5,0.2615
ag,hk,6,0.2677
ai,sh,1,0.032
ai,tc,2,0.0396
ai,fk,3,0.046
ai,ky,4,0.0506
ai,nz,5,0.053
ai,ms,6,0.0536
al,ma,1,0.0716
al,cn,2,0.0913
al,kg,3,0.0921
al,vn,4,0.0932
al,im,5,0.0974
al,tr,6,0.1011
am,lt,1,0.2008
am,ad,2,0.2595
am,ru,3,0.2731
am,gm,4,0.2786
am,ht,5,0.2975
am,ve,6,0.3071
ao,pg,1,0.0793
ao,ly,2,0.1769
ao,vu,3,0.2253
ao,tl,4,0.2313
ao,tt,5,0.2509
ao,ag,6,0.2517
aq,hn,1,0.1036
aq,kz,2,0.2012
aq,pw,3,0.2059
aq,tv,4,0.2235
aq,uz,5,0.268
aq,lu,6,0.2892
ar,gt,1,0.0818
ar,sm,2,0.1538
ar,fm,3,0.1805
ar,so,4,0.2013
ar,fj,5,0.202
ar,bw,6,0.2201
as,fk,1,0.2894
as,ky,2,0.2943
as,ai,3,0.2953
as,do,4,0.2988
as,vg,5,0.2992
as,gs,6,0.3013
at,pf,1,0.1148
at,lb,2,0.1216
at,dk,3,0.1599
at,bh,4,0.1734
at,pe,5,0.1756
at,ye,6,0.1757
au,nz,1,0.0337
au,sh,2,0.0431
au,ck,3,0.0481
au,ky,4,0.0593
au,ai,5,0.061
au,gs,6,0.0636
aw,fm,1,0.0994
aw,so,2,0.0996
aw,bw,3,0.157
aw,fj,4,0.1799
aw,gt,5,0.2007
aw,ar,6,0.231
ax,se,1,0.1599
ax,is,2,0.1924
ax,bs,3,0.2072
ax,tf,4,0.2526
ax,xk,5,0.2551
ax,md,6,0.2861
az,rw,1,0.3355
az,pm,2,0.3557
az,kz,3,0.367
az,uz,4,0.3686
az,hn,5,0.3764
az,tv,6,0.3793
ba,mp,1,0.1948
ba,mh,2,0.2209
ba,bz,3,0.2459
ba,hm,4,0.2498
ba,cv,5,0.2533
ba,ad,6,0.2871
bb,tk,1,0.1155
bb,cw,2,0.1965
bb,gs,3,0.2176
bb,pn,4,0.2211
bb,gu,5,0.2283
bb,td,6,0.2294
bd,mo,1,0.1248
bd,tg,2,0.345
bd,jm,3,0.3647
bd,cm,4,0.3781
bd,za,5,0.4016
bd,az,6,0.4091
be,ug,1,0.2771
be,td,2,0.2788
be,ro,3,0.2837
be,de,4,0.2959
be,ml,5,0.3022
be,gp,6,0.3412
bf,mr,1,0.1728
bf,gw,2,0.2065
bf,vu,3,0.2098
bf,bj,4,0.2478
bf,by,5,0.2502
bf,gn,6,0.2521
bg,ru,1,0.1449
bg,sk,2,0.1838
bg,si,3,0.2079
bg,it,4,0.2104
bg,cz,5,0.2192
bg,pl,6,0.2295
bh,mt,1,0.1368
bh,to,2,0.1597
bh,at,3,0.1734
bh,dk,4,0.1907
bh,ca,5,0.1918
bh,wf,6,0.1982
bi,rs,1,0.2836
bi,pf,2,0.2905
bi,hu,3,0.291
bi,ir,4,0.3005
bi,mm,5,0.3031
bi,it,6,0.3073
bj,gw,1,0.1763
bj,cg,2,0.1954
bj,cm,3,0.2002
bj,gn,4,0.2076
bj,ml,5,0.222
bj,mr,6,0.2246
bl,yt,1,0.0823
bl,cy,2,0.1066
bl,kr,3,0.1108
bl,jp,4,0.1259
bl,vi,5,0.1361
bl,je,6,0.1717
bm,wf,1,0.1262
bm,hk,2,0.1531
bm,tt,3,0.1592
bm,im,4,0.1612
bm,ws,5,0.1628
bm,ma,6,0.1668
bn,va,1,0.2565
bn,nu,2,0.2616
bn,bt,3,0.2719
bn,ec,4,0.3123
bn,co,5,0.3229
bn,mm,6,0.3344
bo,gh,1,0.0348
bo,by,2,0.1919
bo,gm,3,0.2293
bo,pt,4,0.2332
bo,mk,5,0.2484
bo,gw,6,0.2495
bq,ru,1,0.2795
bq,py,2,0.2916
bq,sx,3,0.2935
bq,cu,4,0.2938
bq,cv,5,0.3024
bq,cr,6,0.3059
br,gy,1,0.2365
br,nc,2,0.2664
br,ng,3,0.2692
br,mr,4,0.2834
br,ga,5,0.2931
br,bf,6,0.3013
bs,se,1,0.195
bs,ax,2,0.2072
bs,xk,3,0.2663
bs,is,4,0.2872
bs,ua,5,0.3026
bs,sb,6,0.3093
bt,va,1,0.2604
bt,bn,2,0.2719
bt,nu,3,0.2762
bt,mm,4,0.289
bt,ec,5,0.3054
bt,mk,6,0.3077
bv,no,1,0.0
bv,sj,2,0.0
bv,lv,3,0.217
bv,qa,4,0.2587
bv,es,5,0.2815
bv,sx,6,0.2869
bw,fm,1,0.1388
bw,so,2,0.1396
bw,aw,3,0.157
bw,gt,4,0.1857
bw,fj,5,0.1885
bw,ar,6,0.2201
by,mv,1,0.1426
by,pt,2,0.1633
by,om,3,0.1784
by,gh,4,0.1897
by,bo,5,0.1919
by,bm,6,0.2053
bz,mp,1,0.1822
bz,ht,2,0.2089
bz,kh,3,0.2115
bz,hm,4,0.215
bz,mh,5,0.2431
bz,ba,6,0.2459
ca,pe,1,0.1118
ca,bh,2,0.1918
ca,dk,3,0.2029
ca,at,4,0.2212
ca,ch,5,0.2255
ca,to,6,0.2318
cc,tm,1,0.1406
cc,zm,2,0.1549
cc,st,3,0.2376
cc,cx,4,0.2576
cc,gf,5,0.2761
cc,tz,6,0.3486
cd,re,1,0.2647
cd,ni,2,0.3052
cd,pm,3,0.3916
cd,ga,4,0.3918
cd,na,5,0.3954
cd,sl,6,0.4074
cf,km,1,0.3011
cf,et,2,0.3053
cf,mm,3,0.3116
cf,gq,4,0.319
cf,ml,5,0.3401
cf,ph,6,0.3409
cg,bj,1,0.1954
cg,sn,2,0.2042
cg,it,3,0.2409
cg,mr,4,0.2499
cg,bf,5,0.2826
cg,gn,6,0.2876
ch,hk,1,0.0853
ch,tn,2,0.0903
ch,dk,3,0.1114
ch,tr,4,0.1281
ch,im,5,0.1301
ch,to,6,0.1409
ci,ng,1,0.2185
ci,it,2,0.2738
ci,ie,3,0.2779
ci,ne,4,0.329
ci,bg,5,0.3316
ci,in,6,0.3325
ck,ky,1,0.0463
ck,nz,2,0.0473
ck,au,3,0.0481
ck,sh,4,0.0486
ck,ms,5,0.0492
ck,gs,6,0.0505
cl,pl,1,0.1369
cl,cz,2,0.154
cl,ru,3,0.1867
cl,gl,4,0.1925
cl,om,5,0.2225
cl,pe,6,0.2231
cm,gd,1,0.1987
cm,bj,2,0.2002
cm,ro,3,0.222
cm,td,4,0.2241
cm,ml,5,0.2337
cm,tg,6,0.234
cn,vn,1,0.0318
cn,im,2,0.0423
cn,ma,3,0.0508
cn,kg,4,0.0533
cn,tr,5,0.054
cn,hk,6,0.0777
co,ec,1,0.1409
co,ve,2,0.2021
co,mm,3,0.2484
co,gw,4,0.2506
co,gd,5,0.2743
co,cm,6,0.2787
cr,cu,1,0.1731
cr,py,2,0.2495
cr,ph,3,0.2633
cr,ru,4,0.2649
cr,kh,5,0.266
cr,hr,6,0.2737
cu,cr,1,0.1731
cu,kh,2,0.2551
cu,py,3,0.2629
cu,cv,4,0.2654
cu,ht,5,0.2679
cu,hr,6,0.2723
cv,mh,1,0.1607
cv,mp,2,0.1746
cv,kh,3,0.2504
cv,bz,4,0.2505
cv,hm,5,0.2508
cv,ba,6,0.2533
cw,gu,1,0.1551
cw,nr,2,0.1568
cw,nz,3,0.1598
cw,tk,4,0.1617
cw,au,5,0.1655
cw,sh,6,0.1709
cx,cc,1,0.2576
cx,pn,2,0.2652
cx,tc,3,0.2717
cx,tm,4,0.2729
cx,vg,5,0.2765
cx,cw,6,0.2768
cy,yt,1,0.0999
cy,bl,2,0.1066
cy,jp,3,0.1171
cy,kr,4,0.1504
cy,vi,5,0.1556
cy,je,6,0.188
cz,cl,1,0.154
cz,pl,2,0.1639
cz,gl,3,0.2009
cz,sk,4,0.2099
cz,ru,5,0.2158
cz,bg,6,0.2192
de,ug,1,0.1568
de,mw,2,0.2473
de,mz,3,0.2481
de,ag,4,0.2615
de,mk,5,0.2688
de,pg,6,0.2773
dj,uz,1,0.2378
dj,ar,2,0.2388
dj,sm,3,0.2453
dj,gt,4,0.2621
dj,sl,5,0.2923
dj,ne,6,0.3044
dk,ch,1,0.1114
dk,hk,2,0.1288
dk,to,3,0.1322
dk,tn,4,0.141
dk,tr,5,0.1538
dk,im,6,0.1542
dm,sa,1,0.1977
dm,pk,2,0.2573
dm,nf,3,0.2597
dm,ke,4,0.2882
dm,sb,5,0.289
dm,af,6,0.3057
do,fr,1,0.1777
do,mf,2,0.1777
do,my,3,0.2478
do,la,4,0.256
do,hu,5,0.2568
do,sc,6,0.2595
dz,nf,1,0.3003
dz,dm,2,0.34
dz,in,3,0.3407
dz,kw,4,0.3467
dz,fo,5,0.3484
dz,tj,6,0.3513
ec,co,1,0.1409
ec,mm,2,0.2171
ec,ve,3,0.2302
ec,gw,4,0.2487
ec,md,5,0.2514
ec,cm,6,0.2802
ee,rs,1,0.3586
ee,fo,2,0.385
ee,fi,3,0.3924
ee,th,4,0.3931
ee,bw,5,0.3991
ee,gb-sct,6,0.4187
eg,ye,1,0.0202
eg,iq,2,0.0223
eg,sd,3,0.1156
eg,ae,4,0.1864
eg,hu,5,0.1941
eg,at,6,0.1949
eh,jo,1,0.0478
eh,ps,2,0.123
eh,sy,3,0.1348
eh,sd,4,0.1538
eh,kw,5,0.1583
eh,ae,6,0.1804
er,mn,1,0.3151
er,ki,2,0.3155
er,mk,3,0.3164
er,ma,4,0.3175
er,kp,5,0.3212
er,by,6,0.3236
es,lk,1,0.2044
es,lv,2,0.2604
es,bv,3,0.2815
es,no,4,0.2815
es,sj,5,0.2815
es,qa,6,0.3217
et,ml,1,0.2135
et,mm,2,0.248
et,kn,3,0.2527
et,gq,4,0.2597
et,ec,5,0.2809
et,gf,6,0.2846
fi,fo,1,0.2099
fi,vi,2,0.2766
fi,th,3,0.2824
fi,yt,4,0.2844
fi,gb-eng,5,0.2907
fi,bl,6,0.2947
fj,fm,1,0.1621
fj,so,2,0.1672
fj,aw,3,0.1799
fj,gt,4,0.1866
fj,bw,5,0.1885
fj,ar,6,0.202
fk,ky,1,0.041
fk,sh,2,0.0441
fk,ai,3,0.046
fk,ms,4,0.0472
fk,vg,5,0.0518
fk,gs,6,0.0539
fm,so,1,0.0221
fm,aw,2,0.0994
fm,bw,3,0.1388
fm,fj,4,0.1621
fm,gt,5,0.1653
fm,ar,6,0.1805
fo,kr,1,0.2017
fo,fi,2,0.2099
fo,gb-eng,3,0.2111
fo,gg,4,0.2112
fo,bl,5,0.2166
fo,vi,6,0.2223
fr,mf,1,0.0
fr,it,2,0.1504
fr,mx,3,0.1708
fr,do,4,0.1777
fr,pe,5,0.1877
fr,ro,6,0.2067
ga,gy,1,0.2699
ga,gw,2,0.2749
ga,gn,3,0.2789
ga,bj,4,0.2829
ga,br,5,0.2931
ga,nc,6,0.3047
gb-eng,gb-nir,1,0.0496
gb-eng,ge,2,0.0688
gb-eng,gg,3,0.0822
gb-eng,je,4,0.1664
gb-eng,yt,5,0.1704
gb-eng,bl,6,0.1847
gb-nir,gb-eng,1,0.0496
gb-nir,ge,2,0.0817
gb-nir,gg,3,0.095
gb-nir,je,4,0.1606
gb-nir,yt,5,0.1676
gb-nir,bl,6,0.1817
gb-sct,gr,1,0.1568
gb-sct,sv,2,0.2164
gb-sct,tf,3,0.2647
gb-sct,xk,4,0.2877
gb-sct,nl,5,0.3002
gb-sct,is,6,0.3066
gb-wls,bg,1,0.2835
gb-wls,qa,2,0.3426
gb-wls,gy,3,0.3464
gb-wls,ie,4,0.3477
gb-wls,it,5,0.3493
gb-wls,dj,6,0.3553
gb,my,1,0.2138
gb,io,2,0.2653
gb,ki,3,0.2721
gb,do,4,0.2821
gb,fr,5,0.2929
gb,mf,6,0.2929
gd,cm,1,0.1987
gd,lt,2,0.2054
gd,mk,3,0.2153
gd,ve,4,0.2402
gd,gn,5,0.2429
gd,ad,6,0.2441
ge,gb-eng,1,0.0688
ge,gb-nir,2,0.0817
ge,gg,3,0.113
ge,sg,4,0.1861
ge,je,5,0.1958
ge,gl,6,0.2264
gf,st,1,0.1957
gf,ml,2,0.269
gf,cc,3,0.2761
gf,et,4,0.2846
gf,tm,5,0.2968
gf,ua,6,0.3014
gg,gb-eng,1,0.0822
gg,gb-nir,2,0.095
gg,ge,3,0.113
gg,je,4,0.1829
gg,bl,5,0.1979
gg,sg,6,0.2092
gh,bo,1,0.0348
gh,by,2,0.1897
gh,pt,3,0.2391
gh,mk,4,0.2405
gh,gm,5,0.2435
gh,gw,6,0.2602
gi,pl,1,0.1233
gi,gl,2,0.1325
gi,pf,3,0.1953
gi,lb,4,0.206
gi,sk,5,0.2156
gi,cz,6,0.2207
gl,pl,1,0.0821
gl,gi,2,0.1325
gl,mt,3,0.1737
gl,pf,4,0.1892
gl,cl,5,0.1925
gl,cz,6,0.2009
gm,bo,1,0.2293
gm,by,2,0.2303
gm,gh,3,0.2435
gm,tj,4,0.2487
gm,mv,5,0.2498
gm,mg,6,0.2655
gn,gw,1,0.1012
gn,bj,2,0.2076
gn,mu,3,0.2357
gn,mr,4,0.2426
gn,gd,5,0.2429
gn,td,6,0.2449
gp,ao,1,0.2883
gp,ly,2,0.2997
gp,pg,3,0.3061
gp,af,4,0.3176
gp,jm,5,0.3333
gp,be,6,0.3412
gq,ae,1,0.2134
gq,ir,2,0.2202
gq,kw,3,0.238
gq,at,4,0.2523
gq,sl,5,0.258
gq,ps,6,0.2594
gr,gb-sct,1,0.1568
gr,sv,2,0.1977
gr,nl,3,0.2574
gr,ar,4,0.2782
gr,tf,5,0.2874
